253
Feature_ID,Active,AspectRatios_0,AspectRatios_1,AvgEulers_0,AvgEulers_1,AvgEulers_2,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,NumElements,NumNeighbors,Omega3s,Phases,Volumes,Volumes2
51,1,0.61158532,0.33300215,5.7234154,1.058458,0.52474362,-0.43244272,0.2605474,0.015116564,0.86306423,4.4067011,0.25572044,2.9639719,0.79944986,0.4889318,0.26621851,-0.66316503,6.459208,-19.120525,0.89748257,377,3,0.51376355,1,0.37850949,0.38152149
52,1,0.54603344,0.27536994,1.9105189,1.3709279,3.9811261,0.32301411,-0.54441875,0.15058441,0.7593382,4.3694153,1.8478959,2.3221159,1.0077761,0.5502795,0.27751127,-30.437441,20.078928,-8.0778704,1.0396284,586,2,0.66634953,1,0.5883463,0.59437031
53,1,0.33581233,0.23990119,1.8921273,1.4311258,3.9985931,0.32458621,-0.57011867,0.14715269,0.7402395,1.0221453,1.1742952,0.54751456,3.9331567,1.3208026,0.943569,-21.066385,10.875698,-17.443724,3.3175421,19042,8,0.70542431,1,19.118242,19.148363
54,1,0.48520839,0.2054932,3.9747465,0.36186716,2.1528506,0.11030761,0.14217424,0.076447055,0.98070109,4.1809549,1.6721702,0.36044028,2.8501625,1.3829228,0.58568901,-30.233391,11.203245,-16.984907,2.4831555,7985,5,0.39562377,1,8.0169716,8.0330353
55,1,0.71309763,0.48101962,5.9481349,0.91808921,6.1826239,-0.44004989,0.051831231,0.19371767,0.875296,4.0123916,0.59074539,6.1006861,2.0940232,1.493243,1.0072663,-20.725651,18.358482,-4.0359426,2.8882389,12565,9,0.80802697,1,12.61531,12.642417
56,1,0.34960404,0.25101915,5.7235103,1.0431943,0.6543225,-0.40925717,0.28421319,-0.041015401,0.86605382,0.64464784,0.81574059,5.605144,0.73696971,0.2576476,0.18499351,-4.0833831,36.380558,-9.1799049,0.58795965,106,2,0.20748736,1,0.10642441,0.10742842
57,1,0.60776186,0.24311963,4.017107,1.3940555,2.1248438,0.37542373,0.52071685,0.05410108,0.76484257,2.0859184,0.033458628,2.3102772,0.79621661,0.48391008,0.19357587,-35.280186,13.710569,-19.182421,0.78884602,256,2,0.37687561,1,0.257025,0.257025
58,1,0.46010533,0.249511,1.056724,1.5338508,5.155848,-0.31968006,-0.61590266,0.025417119,0.71959889,2.1620784,1.8118691,1.2386789,5.2841845,2.4312816,1.3184623,-1.4440174,19.067621,-12.644446,4.8323526,58849,11,0.4018597,1,59.084625,59.126797
59,1,0.4977349,0.32640466,5.7466636,0.96653163,0.21365231,-0.43236738,0.17023477,0.14232752,0.87396884,1.5722299,1.5872546,6.1670947,16.426405,8.1759949,5.3616552,-32.938988,16.844515,-10.790837,16.451763,2322205,41,0.2777752,1,2331.5029,2334.5823
60,1,0.42776471,0.2681987,4.4243102,0.55383927,1.6729401,0.053004447,0.26820657,0.0892969,0.95774829,3.6704547,2.1298661,1.9198382,1.9769398,0.84566504,0.53021264,-4.4584346,24.665707,-4.7053452,1.8759644,3443,4,0.70753777,1,3.4567854,3.4648175
61,1,0.39544657,0.1798712,2.9379158,1.2234755,3.8676138,0.51335245,-0.25744766,-0.21138649,0.79088914,5.7384715,2.7870569,3.4705634,3.1772952,1.2564505,0.57150394,-21.361282,9.5294266,-8.6286201,2.5661786,8813,8,0.68384224,1,8.8482866,8.8573227
62,1,0.70275253,0.44219822,3.2340312,0.29122177,2.796026,0.14163119,0.031523194,0.1248906,0.98150361,4.5391574,1.8211622,5.0355186,2.1527283,1.5128353,0.95193261,-14.804806,35.309727,-7.9134498,2.8595278,12194,6,0.7920512,1,12.242824,12.394428
63,1,0.36356527,0.27990258,1.8839551,1.3758584,4.8460855,0.056897357,-0.6323843,-0.17117932,0.7533595,5.9779181,2.4727054,5.0149641,2.1016862,0.76410013,0.58826745,-30.571827,16.740532,-13.124955,1.8775976,3452,5,0.52895218,1,3.4658215,3.4838936
64,1,0.55379254,0.30377257,1.8754946,1.4825991,4.856936,0.054013137,-0.67308331,-0.16429001,0.71906209,3.1515255,1.5220176,1.8809961,0.98367435,0.54475152,0.29881325,-19.243374,5.2014775,-18.516268,1.031883,573,2,0.5105648,1,0.57529426,0.58633828
65,1,0.3826994,0.30183274,3.8463843,1.1008996,2.6260524,0.42868406,0.29972133,-0.080528237,0.84847647,1.9734745,1.1954765,1.0627578,1.2266374,0.46943337,0.37023929,-14.162992,6.6621418,-3.6229129,1.1406679,774,5,0.51529741,1,0.77709901,0.78211904
66,1,0.7232101,0.27114445,5.7629147,1.062421,0.63503426,-0.42438367,0.27662107,-0.049447123,0.86077547,3.8733139,2.2868352,0.67709422,3.6696644,2.6539383,0.99500906,-2.393271,7.0883536,-3.6512127,4.1522207,37334,8,0.67789435,1,37.483482,37.554768
67,1,0.69472688,0.25698602,6.0031242,0.84843612,0.75668031,-0.35753429,0.20393769,-0.21513617,0.88560432,1.4581851,1.3102578,0.93368572,1.3293291,0.92352062,0.34161898,-18.089113,6.4544187,-3.9963312,1.4485117,1585,3,0.62940603,1,1.5913463,1.6013863
68,1,0.53765947,0.2669099,5.9113617,1.0060445,0.39163274,-0.44737691,0.17958517,-0.0086775068,0.87608665,2.6621578,2.9348283,1.888124,1.4258261,0.76660883,0.3805671,-5.5283017,32.696156,-18.967033,1.4164296,1482,2,0.47751337,1,1.4879338,1.5029938
69,1,0.49294683,0.46005085,2.9203191,1.2720392,3.8522396,0.53067225,-0.26687196,-0.19488393,0.78050405,1.6732099,1.5514002,6.2817292,2.7701855,1.3655541,1.2744261,-5.5692506,13.676564,-18.258358,3.3093917,18902,8,0.73845679,1,18.977682,19.005795
70,1,0.6635862,0.36751992,2.8634577,1.2663431,2.9868011,0.59057963,-0.036468316,0.1731433,0.78734189,2.8540473,2.8187423,2.7842124,0.68492758,0.45450845,0.25172451,-5.4657364,6.8205099,-16.693104,0.82232767,290,4,0.54911345,1,0.29116115,0.29116115
71,1,0.50000644,0.28186071,1.8746897,1.4431911,4.8582964,0.052127153,-0.65852344,-0.16742483,0.73184597,0.34554392,2.5551293,2.105118,2.64272,1.321377,0.74487889,-21.404074,8.1891203,-11.172256,2.678266,10019,4,0.67541379,1,10.059115,10.073172
72,1,0.60770053,0.38227224,5.7256217,1.0464433,0.6548875,-0.4106338,0.28469878,-0.042134982,0.86518848,4.1113763,2.3223178,0.71211088,0.55265343,0.3358478,0.21126407,-5.0903316,36.23439,-8.6146536,0.60415012,115,3,0.17923348,1,0.11546045,0.11646445
73,1,0.25150478,0.12821229,2.0483155,1.1743973,3.8768063,0.33817419,-0.4388493,0.14824827,0.81918985,0.56779563,0.88571572,5.5287781,3.4709771,0.8729673,0.44502193,-2.6144645,35.931118,-9.4883537,1.9937348,4133,7,0.22348014,1,4.1495481,4.1856923
74,1,0.48307139,0.19548106,1.8811823,1.419655,4.8130798,0.068204328,-0.6481241,-0.15480027,0.74250937,3.6786652,0.015517976,3.1172822,0.71221727,0.34405178,0.13922499,-33.142517,22.489435,-19.224545,0.59345496,109,3,0.27569366,1,0.10943643,0.11044043
75,1,0.63068205,0.14978808,0.9332372,0.73164833,5.3655343,-0.21516083,-0.28577742,-0.00727741,0.93380094,5.3727636,1.8328769,1.4203882,6.7830997,4.2779794,1.0160275,-20.034801,12.941545,-11.664388,5.6116624,92159,16,0.23677605,1,92.528,92.582214
76,1,0.93864745,0.55863649,5.9234347,0.7158128,0.75269562,-0.29750609,0.18495965,-0.18284094,0.91861266,3.7248738,1.4574132,3.9258716,1.4576551,1.3682243,0.81429929,-8.5945997,5.6782451,-1.1752242,2.2533619,5967,8,0.53999311,1,5.9908915,6.0139832
77,1,0.42343703,0.3196128,3.2022479,1.201344,3.5705547,0.5556404,-0.10349565,-0.19994521,0.80035889,5.9542198,0.10999411,5.3183684,12.417975,5.2582307,3.9689436,-6.1701555,28.673981,-14.403723,10.992601,692731,37,0.10913596,1,695.50464,697.02368
78,1,0.74945486,0.44977403,5.9539752,0.82693565,6.1186652,-0.40042588,0.033047844,0.22377335,0.88797098,5.4737906,0.49273559,5.8581347,1.2936546,0.96953565,0.5818522,-19.039883,18.709723,-0.43560567,1.7481256,2786,3,0.64955282,1,2.7971549,2.804183
79,1,0.80025387,0.22100547,2.9264889,1.2697655,3.7825453,0.53957874,-0.24617562,-0.17014183,0.78695881,4.4417448,1.6175656,3.0100169,2.1437962,1.7155812,0.47379068,-11.84828,14.4491,-17.900068,2.3261361,6564,5,0.61061567,1,6.590282,6.6133738
80,1,0.88567901,0.37703827,2.0452588,1.1844139,3.721097,0.37343758,-0.41487879,0.21203113,0.80216134,2.5393605,0.59833157,1.0793837,1.2361786,1.0948575,0.46608663,-1.949918,31.214926,-5.2621288,1.6528847,2355,5,0.58719248,1,2.3644292,2.3754733
81,1,0.30726543,0.1597987,3.823421,1.15687,2.4503207,0.42284918,0.34654722,0.003953604,0.83730996,2.3943555,2.8887622,2.4321363,17.275541,5.3081765,2.7606091,-14.856599,21.762022,-3.2512684,12.013007,904104,39,0.46459538,1,907.72394,909.67273
82,1,0.521088,0.33740008,1.9026366,1.3913176,3.9707832,0.32770216,-0.55077487,0.1561764,0.75157654,0.79504579,1.114971,0.61607951,1.8478791,0.96290761,0.62347454,-32.321804,22.099886,-14.840369,2.045598,4464,4,0.85535359,1,4.4818735,4.5039616
83,1,0.62248713,0.40838736,1.0689162,1.5608377,5.1596437,-0.32150224,-0.62582511,0.019406473,0.71035385,5.2172503,1.2755014,5.2316909,2.8427768,1.7695919,1.1609541,-10.767508,26.145594,-3.92221,3.5382044,23100,5,0.7776832,1,23.19249,23.263775
84,1,0.42660144,0.22537664,5.9974718,0.67236793,6.0946474,-0.32949778,0.016022203,0.2217596,0.91760403,3.0403602,2.0003774,6.2280097,1.6700212,0.7124334,0.37638372,-13.512942,5.3304935,-0.31548318,1.4463762,1578,4,0.43118006,1,1.5843182,1.5853221
85,1,0.57204968,0.33160412,1.8128945,1.5162549,4.0600929,0.29732972,-0.61994988,0.14788558,0.71090579,1.0213523,0.42358205,0.71785009,0.54862982,0.31384349,0.1819279,-15.792632,35.093376,-14.592221,0.55049324,87,1,0.15487698,1,0.087348342,0.090360351
86,1,0.84326446,0.36434573,2.6976085,1.3210002,3.1697748,0.59649396,-0.14349817,0.16299625,0.77268064,2.6594279,0.45742685,0.30973068,1.065352,0.89837348,0.38815644,-6.7369471,5.6966772,-2.0735371,1.372723,1349,6,0.50318325,1,1.3544012,1.3564093
87,1,0.22511297,0.1256637,2.6802735,1.2412672,4.1027966,0.44054732,-0.37963051,-0.20122029,0.78823167,1.8117182,2.8474095,2.8145425,1.583285,0.35641798,0.19896144,-36.933468,32.067207,-0.049719915,0.88132274,357,4,0.26440337,1,0.3584294,0.36043739
88,1,0.89676398,0.60829401,1.828622,1.5319577,4.0612283,0.30433849,-0.62286729,0.14082721,0.70681125,4.2044849,2.1649168,2.1250613,0.42619658,0.38219774,0.25925282,-12.431528,34.212315,-16.75,0.63096124,131,1,0.25447783,1,0.13152452,0.13453652
89,1,0.45913959,0.15707217,4.0266514,1.3133337,2.1834481,0.36906287,0.4862909,0.028936662,0.79150265,5.920104,0.032355342,5.0513425,0.86436641,0.39686483,0.13576792,-20.112839,13.241678,-19.218794,0.6435523,139,4,0.20120473,1,0.13955654,0.14156455
90,1,0.46801567,0.19588193,4.9300785,1.3096764,1.3721884,-0.12585557,0.5958851,-0.0075671403,0.79311037,4.1126313,0.47170529,6.056365,1.9049051,0.89152545,0.37313649,-15.936934,24.191948,-0.27704692,1.6568525,2372,2,0.65463495,1,2.3814974,2.4387255
91,1,0.86026382,0.60640663,1.0427554,0.8365916,5.2125854,-0.19975792,-0.35369241,0.012721466,0.91369402,5.1860104,1.2800663,3.0969613,1.9041382,1.6380612,1.154682,-6.5921788,17.544334,-18.060404,3.0241091,14423,6,0.82674325,1,14.480748,14.522917
92,1,0.51578873,0.33418944,4.0475698,0.37730867,2.1122851,0.10637918,0.15444642,0.060532894,0.98039055,4.222342,0.93962759,2.726264,2.1776898,1.123228,0.72776097,-35.880489,28.505684,-2.274946,2.3837597,7064,4,0.78896409,1,7.0922837,7.1113596
93,1,0.81584257,0.27986443,2.6655445,1.318002,3.2453716,0.58677405,-0.17504562,0.14631057,0.77694815,3.9151218,0.056696605,2.5581708,1.1308407,0.92258793,0.31648207,-36.350483,11.304202,-0.11375978,1.3336304,1237,4,0.58857065,1,1.2419529,1.2439609
